Cell Type	TF/DNase/HistoneMark	Treatment	File accession	AUC	AUPRC	AUPRC Baseline
GM12878	RXRA	None	wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk.narrowPeak	0,97547837209691	0,0232367291734429	0,000413165019867084
GM12878	SIX5	None	wgEncodeAwgTfbsHaibGm12878Six5Pcr1xUniPk.narrowPeak	0,990721252487834	0,473202209968911	0,00171419529519322
GM12878	SP1	None	wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk.narrowPeak	0,955073265217192	0,326833942654176	0,00883909420162453
GM12878	SRF	None	wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk.narrowPeak	0,926471266243878	0,140646881935783	0,0028306199233447
GM12878	STAT5A	None	wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk.narrowPeak	0,900454994887768	0,102296611428145	0,00691831639649777
GM12878	TAF1	None	wgEncodeAwgTfbsHaibGm12878Taf1Pcr1xUniPk.narrowPeak	0,962067708724549	0,359497296114366	0,0072831323182953
GM12878	TCF12	None	wgEncodeAwgTfbsHaibGm12878Tcf12Pcr1xUniPk.narrowPeak	0,948741630981141	0,200420456758469	0,00814022996589191
GM12878	TCF3	None	wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk.narrowPeak	0,947997050905194	0,17958666944763	0,00770069271071416
GM12878	USF1	None	wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk.narrowPeak	0,982516349065171	0,382890138171139	0,0040613242378424
GM12878	YY1	None	wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk.narrowPeak	0,952042592636106	0,403470832350181	0,0151640353036323
GM12878	ZBTB33	None	wgEncodeAwgTfbsHaibGm12878Zbtb33Pcr1xUniPk.narrowPeak	0,969481666721651	0,0673206803263348	0,00080435317697528
GM12878	ZEB1	None	wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk.narrowPeak	0,966827783767866	0,170089867584993	0,00234712894264918
GM12891	PAX5-C20	None	wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk.narrowPeak	0,917241363954629	0,026234956900275	0,00109444776539259
GM12891	Pol2-4H8	None	wgEncodeAwgTfbsHaibGm12891Pol24h8Pcr1xUniPk.narrowPeak	0,900921739710443	0,301375421631618	0,00918193326066317
GM12891	Pol2	None	wgEncodeAwgTfbsHaibGm12891Pol2Pcr1xUniPk.narrowPeak	0,909010551294223	0,330666444055569	0,0095863075354267
GM12891	POU2F2	None	wgEncodeAwgTfbsHaibGm12891Pou2f2Pcr1xUniPk.narrowPeak	0,930523886866168	0,154993066174631	0,00737543514188263
GM12891	PU.1	None	wgEncodeAwgTfbsHaibGm12891Pu1Pcr1xUniPk.narrowPeak	0,963082388118139	0,439187729619652	0,0196824782868596
GM12891	TAF1	None	wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk.narrowPeak	0,963908335458118	0,357399885841554	0,00591177608214072
GM12891	YY1	None	wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk.narrowPeak	0,966720448132014	0,369644674109028	0,00668975702380534
GM12892	PAX5-C20	None	wgEncodeAwgTfbsHaibGm12892Pax5c20V0416101UniPk.narrowPeak	0,951680705894411	0,267782056914024	0,00460195506171103
GM12892	Pol2-4H8	None	wgEncodeAwgTfbsHaibGm12892Pol24h8V0416102UniPk.narrowPeak	0,899228265651638	0,30779079619295	0,0104785681634375
GM12892	Pol2	None	wgEncodeAwgTfbsHaibGm12892Pol2V0416102UniPk.narrowPeak	0,930859483498779	0,449019649968422	0,0126235099687049
GM12892	TAF1	None	wgEncodeAwgTfbsHaibGm12892Taf1V0416102UniPk.narrowPeak	0,970675427153832	0,387868160363584	0,00445690776750237
GM12892	YY1	None	wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk.narrowPeak	0,954630577702132	0,342375512909103	0,0073798305144344
H1-hESC	ATF2	None	wgEncodeAwgTfbsHaibH1hescAtf2sc81188V0422111UniPk.narrowPeak	0,914795822861009	0,113492888758135	0,00543707584654875
H1-hESC	ATF3	None	wgEncodeAwgTfbsHaibH1hescAtf3V0416102UniPk.narrowPeak	0,982504365744435	0,271062894045994	0,00192517317767854
H1-hESC	BCL11A	None	wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk.narrowPeak	0,940037271244679	0,062591451116427	0,000918632863321495
H1-hESC	CTCF	None	wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk.narrowPeak	0,983673756031786	0,59098017935799	0,0182232145996695
H1-hESC	Egr-1	None	wgEncodeAwgTfbsHaibH1hescEgr1V0416102UniPk.narrowPeak	0,953604241890965	0,161265270487059	0,0041975807869475
H1-hESC	FOSL1	None	wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk.narrowPeak	0,937050394434224	0,0258080363413494	0,000461514117936636
H1-hESC	GABP	None	wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk.narrowPeak	0,982814730323958	0,343065473308026	0,00358222862969865
H1-hESC	HDAC2	None	wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk.narrowPeak	0,948779037663696	0,0650381364727585	0,00247459474665073
H1-hESC	JunD	None	wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk.narrowPeak	0,957098716316776	0,166833283787319	0,00332729702169556
H1-hESC	NANOG	None	wgEncodeAwgTfbsHaibH1hescNanogsc33759V0416102UniPk.narrowPeak	0,930438562810057	0,0738693082739726	0,00245261788389184
H1-hESC	NRSF	None	wgEncodeAwgTfbsHaibH1hescNrsfV0416102UniPk.narrowPeak	0,952885123592884	0,442093370138194	0,00597770667041739
H1-hESC	p300	None	wgEncodeAwgTfbsHaibH1hescP300V0416102UniPk.narrowPeak	0,940837667280355	0,136096810050532	0,0048041421990928
H1-hESC	Pol2-4H8	None	wgEncodeAwgTfbsHaibH1hescPol24h8V0416102UniPk.narrowPeak	0,906981989541017	0,308537061520911	0,010153310594606
H1-hESC	Pol2	None	wgEncodeAwgTfbsHaibH1hescPol2V0416102UniPk.narrowPeak	0,936257212555117	0,49693909105331	0,0147332887935581
H1-hESC	POU5F1	None	wgEncodeAwgTfbsHaibH1hescPou5f1sc9081V0416102UniPk.narrowPeak	0,947087640148086	0,10123012059519	0,001679032314779
H1-hESC	Rad21	None	wgEncodeAwgTfbsHaibH1hescRad21V0416102UniPk.narrowPeak	0,974008375175181	0,662303242556859	0,0290358310770421
H1-hESC	RXRA	None	wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk.narrowPeak	0,956119034868608	0,0195074054738187	0,000540630823868631
H1-hESC	Sin3Ak-20	None	wgEncodeAwgTfbsHaibH1hescSin3ak20Pcr1xUniPk.narrowPeak	0,957022323707238	0,202339908506885	0,0048041421990928
H1-hESC	SIX5	None	wgEncodeAwgTfbsHaibH1hescSix5Pcr1xUniPk.narrowPeak	0,955924198064347	0,283393913734069	0,00120433207918703
H1-hESC	SP1	None	wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk.narrowPeak	0,936944779687741	0,233113758279004	0,00734027216146841
H1-hESC	SP2	None	wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk.narrowPeak	0,971738645415394	0,227638638645867	0,00122191356939414
H1-hESC	SP4	None	wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk.narrowPeak	0,974701338620348	0,287442702622082	0,00476897921867858
H1-hESC	SRF	None	wgEncodeAwgTfbsHaibH1hescSrfPcr1xUniPk.narrowPeak	0,874915348991977	0,0793087193173294	0,00207901121699075
H1-hESC	TAF1	None	wgEncodeAwgTfbsHaibH1hescTaf1V0416102UniPk.narrowPeak	0,975171220778927	0,524350276420627	0,012544393262773
H1-hESC	TAF7	None	wgEncodeAwgTfbsHaibH1hescTaf7sc101167V0416102UniPk.narrowPeak	0,958718247514486	0,31612610769006	0,00545465733675586
H1-hESC	TCF12	None	wgEncodeAwgTfbsHaibH1hescTcf12Pcr1xUniPk.narrowPeak	0,942690210475496	0,113885729383441	0,00369650831604487
H1-hESC	TEAD4	None	wgEncodeAwgTfbsHaibH1hescTead4sc101184V0422111UniPk.narrowPeak	0,946155966535343	0,220844126431519	0,0094500509863216
H1-hESC	USF1	None	wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk.narrowPeak	0,976938954561723	0,442158431248277	0,00979289004536025
H1-hESC	YY1	None	wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk.narrowPeak	0,955840635368836	0,319338438233172	0,00975772706494603
HCT-116	Pol2-4H8	None	wgEncodeAwgTfbsHaibHct116Pol24h8V0416101UniPk.narrowPeak	0,904003718082628	0,420593510357869	0,0198626885614825
HCT-116	YY1	None	wgEncodeAwgTfbsHaibHct116Yy1sc281V0416101UniPk.narrowPeak	0,966481725410349	0,308178883271745	0,00646998839621646
HCT-116	ZBTB33	None	wgEncodeAwgTfbsHaibHct116Zbtb33V0416101UniPk.narrowPeak	0,961492994634143	0,171654051316881	0,00243503639368473
HeLa-S3	GABP	None	wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk.narrowPeak	0,982048618346989	0,414419377799151	0,00333608776679911
HeLa-S3	NRSF	None	wgEncodeAwgTfbsHaibHelas3NrsfPcr1xUniPk.narrowPeak	0,940969855106935	0,356179432881438	0,00502830619923345
HeLa-S3	Pol2	None	wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk.narrowPeak	0,910957166781518	0,478114977506112	0,0207505538169415
HeLa-S3	TAF1	None	wgEncodeAwgTfbsHaibHelas3Taf1Pcr1xUniPk.narrowPeak	0,952724970157885	0,362417955173769	0,0101840782024684
HepG2	ATF3	None	wgEncodeAwgTfbsHaibHepg2Atf3V0416101UniPk.narrowPeak	0,984173628265196	0,233290981546212	0,00106368015753015
HepG2	BHLHE40	None	wgEncodeAwgTfbsHaibHepg2Bhlhe40V0416101UniPk.narrowPeak	0,970076097540433	0,101081900458152	0,000949400471183938
HepG2	CEBPB	None	wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk.narrowPeak	0,976292259953899	0,295297938046681	0,00580189176834629
HepG2	CEBPD	None	wgEncodeAwgTfbsHaibHepg2Cebpdsc636V0416101UniPk.narrowPeak	0,971372910717578	0,199586581686042	0,00471183937550547
HepG2	CTCF	None	wgEncodeAwgTfbsHaibHepg2Ctcfsc5916V0416101UniPk.narrowPeak	0,986842904400664	0,638215779911953	0,0165222054221316
HepG2	ELF1	None	wgEncodeAwgTfbsHaibHepg2Elf1sc631V0416101UniPk.narrowPeak	0,965702763456364	0,357373644961855	0,00652273286683779
HepG2	FOSL2	None	wgEncodeAwgTfbsHaibHepg2Fosl2V0416101UniPk.narrowPeak	0,954483149840406	0,310147642680673	0,00949840008439115
HepG2	FOXA1	None	wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk.narrowPeak	0,944196728011843	0,340830040503554	0,0183726572664299
HepG2	FOXA1	None	wgEncodeAwgTfbsHaibHepg2Foxa1sc6553V0416101UniPk.narrowPeak	0,943532165048089	0,372815097064798	0,021827420092127
HepG2	FOXA2	None	wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk.narrowPeak	0,943101920767383	0,327925019460392	0,0176825837758008
HepG2	GABP	None	wgEncodeAwgTfbsHaibHepg2GabpPcr2xUniPk.narrowPeak	0,988331069426174	0,560677467121201	0,00483490980695524
HepG2	HDAC2	None	wgEncodeAwgTfbsHaibHepg2Hdac2sc6296V0416101UniPk.narrowPeak	0,937250961546857	0,17216599347094	0,00959070290797848
HepG2	HNF4A	None	wgEncodeAwgTfbsHaibHepg2Hnf4asc8987V0416101UniPk.narrowPeak	0,962022049128748	0,263098430750333	0,00803474102464925
HepG2	HNF4G	None	wgEncodeAwgTfbsHaibHepg2Hnf4gsc6558V0416101UniPk.narrowPeak	0,954636202752767	0,252178364865508	0,00898414149583319
HepG2	JunD	None	wgEncodeAwgTfbsHaibHepg2JundPcr1xUniPk.narrowPeak	0,955196962278871	0,260889373619465	0,00852702275044833
HepG2	MBD4	None	wgEncodeAwgTfbsHaibHepg2Mbd4sc271530V0422111UniPk.narrowPeak	0,916877278281463	0,0801806215939659	0,00434702345370794
HepG2	MYBL2	None	wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk.narrowPeak	0,908103887205117	0,19586398369142	0,0142761700481733
HepG2	NFIC	None	wgEncodeAwgTfbsHaibHepg2Nficsc81335V0422111UniPk.narrowPeak	0,908727987923422	0,166984710618607	0,0122411125567003
HepG2	NRSF	None	wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk.narrowPeak	0,984887603525459	0,472430428331462	0,00232515207989029
HepG2	NRSF	None	wgEncodeAwgTfbsHaibHepg2NrsfV0416101UniPk.narrowPeak	0,953006242571762	0,350238802218894	0,00738862125953796
HepG2	p300	None	wgEncodeAwgTfbsHaibHepg2P300V0416101UniPk.narrowPeak	0,932979836479135	0,230631843916877	0,013630050283062
HepG2	Pol2-4H8	None	wgEncodeAwgTfbsHaibHepg2Pol24h8V0416102UniPk.narrowPeak	0,908404141913069	0,392485223032422	0,00984563451598157
HepG2	Pol2	None	wgEncodeAwgTfbsHaibHepg2Pol2Pcr2xUniPk.narrowPeak	0,94890618362583	0,506445989871353	0,0144300080874855
HepG2	Rad21	None	wgEncodeAwgTfbsHaibHepg2Rad21V0416101UniPk.narrowPeak	0,976796244584178	0,603929774837756	0,0179463061289075
HepG2	RXRA	None	wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk.narrowPeak	0,94201762206121	0,18825320161214	0,00773585569112838
HepG2	Sin3Ak-20	None	wgEncodeAwgTfbsHaibHepg2Sin3ak20Pcr1xUniPk.narrowPeak	0,950666732423093	0,314508706501173	0,0100038679278456
HepG2	SP1	None	wgEncodeAwgTfbsHaibHepg2Sp1Pcr1xUniPk.narrowPeak	0,942727504012599	0,272330030813317	0,0130410703611238
HepG2	SP2	None	wgEncodeAwgTfbsHaibHepg2Sp2V0422111UniPk.narrowPeak	0,991742098965316	0,305141298992982	0,000879074510355498
HepG2	SRF	None	wgEncodeAwgTfbsHaibHepg2SrfV0416101UniPk.narrowPeak	0,853729195751272	0,0357723648753419	0,00144607756953479
HepG2	TAF1	None	wgEncodeAwgTfbsHaibHepg2Taf1Pcr2xUniPk.narrowPeak	0,986033679191717	0,56235835878907	0,00887425718203875
HepG2	TCF12	None	wgEncodeAwgTfbsHaibHepg2Tcf12Pcr1xUniPk.narrowPeak	0,977847001071973	0,0672963546446052	0,00082193466718239
HepG2	TEAD4	None	wgEncodeAwgTfbsHaibHepg2Tead4sc101184V0422111UniPk.narrowPeak	0,911202800704939	0,131896342360024	0,00946763247652871
HepG2	USF1	None	wgEncodeAwgTfbsHaibHepg2Usf1Pcr1xUniPk.narrowPeak	0,982911580959999	0,387497046554152	0,00695787474946377
HepG2	YY1	None	wgEncodeAwgTfbsHaibHepg2Yy1sc281V0416101UniPk.narrowPeak	0,967588379418537	0,447770877107604	0,00915995639790429
HepG2	ZBTB33	None	wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk.narrowPeak	0,954026244874709	0,0747392025836406	0,0010153310594606
HepG2	ZBTB7A	None	wgEncodeAwgTfbsHaibHepg2Zbtb7aV0416101UniPk.narrowPeak	0,967724078003075	0,13765735325387	0,00270754949189493
HUVEC	Pol2-4H8	None	wgEncodeAwgTfbsHaibHuvecPol24h8V0416101UniPk.narrowPeak	0,918693053657523	0,37699341240942	0,0238712683287035
