Cell Type	TF/DNase/HistoneMark	Treatment	File accession	AUC	AUPRC	AUPRC Baseline
K562	TAF7	None	wgEncodeAwgTfbsHaibK562Taf7sc101167V0416101UniPk.narrowPeak	0,89044054603779	0,0646282069765316	0,00141970533422413
K562	TEAD4	None	wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk.narrowPeak	0,922597988955593	0,25546032980804	0,0161661802454376
K562	THAP1	None	wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk.narrowPeak	0,985768312977163	0,188031718725455	0,00138014698125813
K562	TRIM28	None	wgEncodeAwgTfbsHaibK562Trim28sc81411V0422111UniPk.narrowPeak	0,916828142522198	0,13658939206471	0,0077710186715426
K562	USF1	None	wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk.narrowPeak	0,974563685540095	0,372411740455694	0,00720841098491508
K562	YY1	None	wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk.narrowPeak	0,983002327199007	0,424114491177886	0,00525686557192588
K562	YY1	None	wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk.narrowPeak	0,957374990891642	0,368408139478595	0,00981047153556736
K562	ZBTB33	None	wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk.narrowPeak	0,955798610120156	0,063504324010749	0,00107247090263371
K562	ZBTB7A	None	wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk.narrowPeak	0,970400591987396	0,373238786243239	0,0107554766341995
PANC-1	NRSF	None	wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk.narrowPeak	0,975145248256516	0,403667513368043	0,00228559372692429
PANC-1	Pol2-4H8	None	wgEncodeAwgTfbsHaibPanc1Pol24h8V0416101UniPk.narrowPeak	0,928962737646421	0,169585435514913	0,00393825380639263
PANC-1	Sin3Ak-20	None	wgEncodeAwgTfbsHaibPanc1Sin3ak20V0416101UniPk.narrowPeak	0,980326540054097	0,168130692110858	0,00280424768803404
PFSK-1	FOXP2	None	wgEncodeAwgTfbsHaibPfsk1Foxp2Pcr2xUniPk.narrowPeak	0,962361693426945	0,329536241035015	0,010825802595028
PFSK-1	NRSF	None	wgEncodeAwgTfbsHaibPfsk1NrsfPcr2xUniPk.narrowPeak	0,935109015992673	0,352229769513238	0,00764794824009283
PFSK-1	Sin3Ak-20	None	wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk.narrowPeak	0,930172809671266	0,0785564119579624	0,00329652941383312
PFSK-1	TAF1	None	wgEncodeAwgTfbsHaibPfsk1Taf1V0416101UniPk.narrowPeak	0,922334826489363	0,215423141582243	0,00336246000210978
SK-N-MC	FOXP2	None	wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk.narrowPeak	0,910221709050899	0,232179382961872	0,0154057807939801
SK-N-MC	Pol2-4H8	None	wgEncodeAwgTfbsHaibSknmcPol24h8V0416101UniPk.narrowPeak	0,907063492405313	0,26071466379964	0,0168474629909631
SK-N-SH	NRSF	None	wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk.narrowPeak	0,957974345591196	0,291781321846743	0,00857976722106966
SK-N-SH	NRSF	None	wgEncodeAwgTfbsHaibSknshNrsfV0416101UniPk.narrowPeak	0,959115811549918	0,283573462407904	0,00482172368929991
SK-N-SH	Pol2-4H8	None	wgEncodeAwgTfbsHaibSknshPol24h8V0416101UniPk.narrowPeak	0,901610065963669	0,30086515546635	0,0165353915397869
SK-N-SH_RA	CTCF	None	wgEncodeAwgTfbsHaibSknshraCtcfV0416102UniPk.narrowPeak	0,991020275309248	0,604722979088223	0,0110895249481346
SK-N-SH_RA	p300	None	wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk.narrowPeak	0,891925062971082	0,222156176804574	0,026627166918668
SK-N-SH_RA	Rad21	None	wgEncodeAwgTfbsHaibSknshraRad21V0416102UniPk.narrowPeak	0,958137665834221	0,543834644790802	0,0224427722493759
SK-N-SH_RA	USF1	None	wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk.narrowPeak	0,978064430051436	0,388398574726304	0,00768311122050705
SK-N-SH_RA	YY1	None	wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk.narrowPeak	0,944735900760425	0,301330675907923	0,00845669678961989
SK-N-SH	Sin3Ak-20	None	wgEncodeAwgTfbsHaibSknshSin3ak20V0416101UniPk.narrowPeak	0,946856187233172	0,287707266374231	0,0090017229860403
SK-N-SH	TAF1	None	wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk.narrowPeak	0,968996752226061	0,408982128165231	0,00653591898449313
T-47D	CTCF	DMSO_0.02pct	wgEncodeAwgTfbsHaibT47dCtcfsc5916V0416102Dm002p1hUniPk.narrowPeak	0,987168417003369	0,668559471927688	0,013630050283062
T-47D	ERalpha	BPA_100nM	wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk.narrowPeak	0,895361686451412	0,0301600099034626	0,00192517317767854
T-47D	ERalpha	Genistein_100nM	wgEncodeAwgTfbsHaibT47dEralphaaPcr2xGen1hUniPk.narrowPeak	0,877178507672294	0,0642350002222352	0,00594693906255494
T-47D	ERalpha	Estradiol_10nM	wgEncodeAwgTfbsHaibT47dEralphaaV0416102Est10nm1hUniPk.narrowPeak	0,877228410608175	0,0638404028849705	0,00589858996448539
T-47D	FOXA1	DMSO_0.02pct	wgEncodeAwgTfbsHaibT47dFoxa1sc6553V0416102Dm002p1hUniPk.narrowPeak	0,918076319637315	0,244522651725299	0,0195857800907205
T-47D	GATA3	DMSO_0.02pct	wgEncodeAwgTfbsHaibT47dGata3sc268V0416102Dm002p1hUniPk.narrowPeak	0,864564285342947	0,149341388074329	0,022183445268821
T-47D	p300	DMSO_0.02pct	wgEncodeAwgTfbsHaibT47dP300V0416102Dm002p1hUniPk.narrowPeak	0,882579323222007	0,100503541951043	0,00913358416259362
U87	NRSF	None	wgEncodeAwgTfbsHaibU87NrsfPcr2xUniPk.narrowPeak	0,977759225770404	0,398263753672336	0,00693589788670488
U87	Pol2-4H8	None	wgEncodeAwgTfbsHaibU87Pol24h8V0416101UniPk.narrowPeak	0,91652303652561	0,34563376055864	0,0166101128731671
A549	BHLHE40	None	wgEncodeAwgTfbsSydhA549Bhlhe40IggrabUniPk.narrowPeak	0,958361915365552	0,121198105902866	0,00162189247160589
A549	CEBPB	None	wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk.narrowPeak	0,971565265405807	0,490545781267374	0,021058229895566
